theta,rho,row_sum_error,P_inf_norm,inner_count,outer_count,annulus_count,family_lower,family_upper
0.47500000000000003,0.995645378426715,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.48,0.9956529728965968,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.485,0.9956607429591394,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.49,0.9956686943502293,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.495,0.9956768330589344,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.5,0.9956851653426312,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.505,0.9956936977431455,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.51,0.9957024371040039,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.515,0.9957113905888664,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.52,0.995720565701302,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.525,0.9957299703059296,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.53,0.9957396126511086,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.535,0.9957495013933195,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.54,0.9957596456233071,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.545,0.9957700548942252,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.55,0.9957807392518772,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.555,0.9957917092672979,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.56,0.9958029760718231,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.5650000000000001,0.9958145513948744,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.5700000000000001,0.9958264476047053,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.5750000000000001,0.9958386777523178,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
